defendants,original values,cases
"1-800-FLOWERS.COM, INC.","1-800-FLOWERS.COM, INC. ET AL",1.0
109 RESTAURANT CORP.,109 RESTAURANT CORP. ET AL,1.0
"1416 CHANCELLOR, INC.","1416 CHANCELLOR, INC. ET AL",1.0
"1ST FIRE & SECURITY,","1ST FIRE & SECURITY, ET AL",1.0
"20/20 COMPANIES, INC.,","20/20 COMPANIES, INC., ET AL.",1.0
"212, LLC","212, LLC ET AL",1.0
"24 HOUR FITNESS USA, INC.","24 HOUR FITNESS USA, INC.",2.0
"24 HOUR FITNESS USA, INC.","24 HOUR FITNESS USA, INC. ET AL",1.0
A2P,A2P,1.0
"AB RESOURCES, LLC","AB RESOURCES, LLC",1.0
ABC DEBT RELIEF LTD CO,ABC DEBT RELIEF LTD CO ET AL,1.0
"ABQ MARKETING GROUP, INC.","ABQ MARKETING GROUP, INC. ET AL",1.0
"ACCOUNT RECEIVABLE MANAGEMENT OF FLORIDA, INC.","ACCOUNT RECEIVABLE MANAGEMENT OF FLORIDA, INC. ET AL",1.0
ACE CASH EXPRESS INC,ACE CASH EXPRESS INC ET AL,1.0
ACE CASH EXPRESS INC,"ACE CASH EXPRESS, INC. ET AL",1.0
"ACI, LLC","ACI, LLC",1.0
AD ASTRA RECOVERY SERVICES INC,AD ASTRA RECOVERY SERVICES INC,1.0
"ADECCO USA, INC.","ADECCO USA, INC.",1.0
"ADVANCE AMERICA, CASH ADVANCE CENTERS OF PENNSYLVANIA, LLC","ADVANCE AMERICA, CASH ADVANCE CENTERS OF PENNSYLVANIA, LLC",1.0
"ADVANCE AMERICA, CASH ADVANCE CENTERS, INC.","ADVANCE AMERICA, CASH ADVANCE CENTERS, INC. ET AL",1.0
"ADVANCED CALL CENTER TECHNOLOGIES, LLC","ADVANCED CALL CENTER TECHNOLOGIES, LLC ET AL",2.0
"ADVANCED CAREGIVERS, LLC","ADVANCED CAREGIVERS, LLC ET AL",1.0
ADVANCED COMMUNICATIONS INC.,ADVANCED COMMUNICATIONS INC. ET AL,1.0
"ADVANTAGE BUILDERS OF AMERICA, INC.","ADVANTAGE BUILDERS OF AMERICA, INC.",1.0
"ADVANTUS LEISURE MANAGEMENT SERVICES, INC.","ADVANTUS LEISURE MANAGEMENT SERVICES, INC. ET AL",1.0
"ADVOCATE MORTGAGE GROUP, INC.","ADVOCATE MORTGAGE GROUP, INC. ET AL",1.0
AEGIS DEFENSE SERVICES LLC,AEGIS DEFENSE SERVICES LLC,1.0
"AETNA, INC.","AETNA, INC. ET AL",1.0
"AIRLIE OPPORTUNITY MASTER FUND, LTD","AIRLIE OPPORTUNITY MASTER FUND, LTD ET AL",2.0
"ALCAN ROLLED PRODUCTS-RAVENSWOOD, L.L.C.","ALCAN ROLLED PRODUCTS-RAVENSWOOD, L.L.C. ET AL",1.0
"ALDERWOODS GROUP, INC.","ALDERWOODS GROUP, INC. ET AL",6.0
ALIENWARE CORPORATION,ALIENWARE CORPORATION,1.0
"ALL TRANSIT, LLC","ALL TRANSIT, LLC ET AL",1.0
ALLIANCE DATA SYSTEMS CORPORATION,ALLIANCE DATA SYSTEMS CORPORATION ET AL,1.0
"ALLIANCE-ONE SERVICES, INC.","ALLIANCE-ONE SERVICES, INC.",1.0
ALLIED HOME MORTGAGE CAPITAL CORPORATION,ALLIED HOME MORTGAGE CAPITAL CORPORATION,2.0
ALLIED INTERNATIONAL CREDIT CORP.,ALLIED INTERNATIONAL CREDIT CORP. ET AL,1.0
ALLIED INTERSTATE INC,ALLIED INTERSTATE INC ET AL,1.0
ALLIED INTERSTATE INC,"ALLIED INTERSTATE, INC",1.0
ALLIED INTERSTATE INC,"ALLIED INTERSTATE, INC. ET AL",1.0
"ALLIED INTERSTATE, LLC","ALLIED INTERSTATE, LLC",1.0
ALLIEDBARTON SECURITY SERVICES LP,ALLIEDBARTON SECURITY SERVICES LP ET AL,1.0
ALLTEL CORPORATION,ALLTEL CORPORATION ET AL,1.0
ALLY FINANCIAL INC.,ALLY FINANCIAL INC.,1.0
"ALORICA, INC.","ALORICA, INC.",1.0
AMAZON SERVICES LLC,AMAZON SERVICES LLC,2.0
"AMCOR RIGID PLASTICS USA, INC.","AMCOR RIGID PLASTICS USA, INC. ET AL",1.0
"AMERICAN DATAMED,","AMERICAN DATAMED, ET AL",1.0
"AMERICAN DEBT SERVICES, INC","AMERICAN DEBT SERVICES, INC ET AL",1.0
"AMERICAN ESCROW, LLC","AMERICAN ESCROW, LLC ET AL",1.0
American Express,American Express,1.0
AMERICAN EXPRESS BANK FSB,AMERICAN EXPRESS BANK FSB ET AL,1.0
AMERICAN EXPRESS CENTURION BANK,AMERICAN EXPRESS CENTURION BANK,2.0
AMERICAN EXPRESS CENTURION BANK,AMERICAN EXPRESS CENTURION BANK ET AL,1.0
AMERICAN EXPRESS CENTURION BANK,"AMERICAN EXPRESS CENTURION BANK, INC.",1.0
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS COMPANY,3.0
